,iso,m1_beta1,m1_beta2,m1_maxGMT,m2_beta1,m2_beta2,m2_maxGMT,m3_beta1,m3_beta2,m3_maxGMT,m4_beta1,m4_beta2,m4_maxGMT,m5_beta1,m5_beta2,m5_maxGMT,m6_beta1,m6_beta2,m6_maxGMT,m7_beta1,m7_beta2,m7_maxGMT,m8_beta1,m8_beta2,m8_maxGMT,m9_beta1,m9_beta2,m9_maxGMT,m10_beta1,m10_beta2,m10_maxGMT,m11_beta1,m11_beta2,m11_maxGMT,m12_beta1,m12_beta2,m12_maxGMT,m13_beta1,m13_beta2,m13_maxGMT,m14_beta1,m14_beta2,m14_maxGMT,m15_beta1,m15_beta2,m15_maxGMT,m16_beta1,m16_beta2,m16_maxGMT,m17_beta1,m17_beta2,m17_maxGMT,m18_beta1,m18_beta2,m18_maxGMT,m19_beta1,m19_beta2,m19_maxGMT,m20_beta1,m20_beta2,m20_maxGMT,m21_beta1,m21_beta2,m21_maxGMT
0,ABW,-16.91090172,2.370350261,3.271393877,-4.588604524,0.252472568,5.357116368,-10.98480768,1.479278271,3.17721442,0.07361067,-0.049768643,3.616686681,-3.258848675,-0.168827937,5.912029359,-7.671758961,0.402044469,5.861769382,-15.23352675,1.553342324,5.221369037,-10.89543547,0.847441545,4.652150125,-5.018613803,-0.174443335,4.794348464,-10.79300085,0.908449438,3.521065644,-7.263939719,0.690351533,3.831035675,-6.334778697,1.099144205,3.695553645,-2.759901079,0.017691355,4.802522534,0.305668491,-1.572207732,3.340032709,1.357653527,-2.695380724,2.759113414,-8.175382264,1.37803154,2.810758886,-4.315103639,0.042814197,2.727035158,-5.875724743,0.375659744,2.931697861,-3.889745614,-0.084621172,4.500484936,-4.654272617,-0.058818063,4.302452975,-3.498154629,-0.090355355,5.151280551
1,AFG,-6.496110515,0.491795448,3.271393877,-7.955776751,0.359122614,5.357116368,-0.730867739,-0.510178239,3.17721442,-1.629732659,-0.525261175,3.616686681,-4.743838871,0.064212711,5.912029359,-2.603800703,-0.614626409,5.861769382,-5.855292469,-0.015759847,5.221369037,-4.763554235,0.171187894,4.652150125,-6.962105992,0.521910736,4.794348464,-1.812848746,-0.366939275,3.521065644,-1.198404133,-0.686069507,3.831035675,-10.15542278,0.347101161,3.695553645,-0.923996355,-0.097217657,4.802522534,0.37922114,-1.072715098,3.340032709,-10.14918746,1.582151054,2.759113414,-4.839977595,0.178929168,2.810758886,-0.644078483,-1.097508072,2.727035158,-5.034714649,-0.372019932,2.931697861,-4.464924607,-0.08702282,4.500484936,-4.374108304,0.300313594,4.302452975,-1.401575139,-0.293683587,5.151280551
2,AGO,-9.425613543,1.129063676,3.271393877,-3.525519632,-0.039065254,5.357116368,-2.163455524,-0.61380012,3.17721442,-5.524160413,-0.188371821,3.616686681,-8.890177168,0.488457398,5.912029359,-3.388614936,-0.300591314,5.861769382,-6.102162508,0.189925916,5.221369037,-9.337447078,0.621905782,4.652150125,-7.247619896,0.295964995,4.794348464,-6.588982215,0.759578668,3.521065644,-10.47745644,0.846965091,3.831035675,-1.116362955,-0.862267683,3.695553645,-4.797558867,0.419353521,4.802522534,-0.474128062,-0.967028302,3.340032709,-11.1185553,-0.099755384,2.759113414,-8.486053534,1.364626618,2.810758886,-5.381267614,0.832390841,2.727035158,-6.055438186,1.042500396,2.931697861,-3.334224599,-0.242371968,4.500484936,-7.237409669,0.239635502,4.302452975,-2.814600778,-0.369109171,5.151280551
3,ALB,-7.110816263,0.239712242,3.271393877,-1.482136003,-0.49048647,5.357116368,-4.65619258,-0.339776187,3.17721442,-1.236044786,-1.806782089,3.616686681,-5.543918839,0.284201827,5.912029359,-8.243634566,0.462947739,5.861769382,-1.765839309,-0.260458498,5.221369037,-6.334558702,0.753489384,4.652150125,0.76698366,-0.616871928,4.794348464,-13.44449281,1.968900883,3.521065644,-4.596752464,-0.202912697,3.831035675,-7.045909675,0.54697595,3.695553645,-6.123451228,0.279407487,4.802522534,3.101338009,-0.217926137,3.340032709,-15.75493609,3.68420798,2.759113414,-6.340744144,0.750783242,2.810758886,10.01897136,-2.135887105,2.727035158,-3.34570472,-0.530033919,2.931697861,-7.242588288,0.408168376,4.500484936,3.150423451,-0.686799975,4.302452975,-0.649689771,0.049214393,5.151280551
4,ARE,-6.835473617,0.184717789,3.271393877,-7.473077454,0.404385141,5.357116368,-3.269051534,-0.716591763,3.17721442,-7.928709158,0.53171543,3.616686681,-5.055378239,0.136581903,5.912029359,-4.201375731,-0.135759478,5.861769382,-9.245710355,0.49383593,5.221369037,-5.666955422,0.319468373,4.652150125,-11.4100354,0.907413965,4.794348464,-7.530491775,0.525676695,3.521065644,-6.969192856,0.813380328,3.831035675,-2.21748798,-0.438797795,3.695553645,-5.481547541,0.492463313,4.802522534,-2.272053478,-1.044108506,3.340032709,-14.42030159,1.818687963,2.759113414,-2.708292425,-1.761459735,2.810758886,-8.537297168,0.262765568,2.727035158,-12.44543044,1.800914913,2.931697861,-5.727622696,0.24917257,4.500484936,-9.079571582,0.972617179,4.302452975,-2.828491863,-0.191060976,5.151280551
5,ARG,2.459245152,-1.119952001,3.271393877,-3.558723535,-0.129605909,5.357116368,-9.344317106,0.53746933,3.17721442,-8.669639847,0.44692902,3.616686681,-7.529987805,0.328226883,5.912029359,-3.456591947,-0.223990028,5.861769382,-2.574782905,0.485775571,5.221369037,-10.24846654,1.187917199,4.652150125,-2.597225323,-0.339344519,4.794348464,-4.423989838,0.028566153,3.521065644,-4.771411191,0.053022219,3.831035675,-2.557718226,-0.576743789,3.695553645,-3.956524237,0.255781226,4.802522534,0.08601869,-1.194496174,3.340032709,-5.714341073,0.245759005,2.759113414,-6.430521285,0.231445934,2.810758886,2.015697856,-0.795853797,2.727035158,-2.921362045,0.186001878,2.931697861,-1.153624201,-0.453052077,4.500484936,-3.476353164,-0.127413899,4.302452975,-6.745775943,0.202548104,5.151280551
6,ARM,-1.349175811,-0.554374236,3.271393877,-3.736640906,0.126530409,5.357116368,-8.021450009,1.717999392,3.17721442,3.786476853,-1.111968341,3.616686681,-1.628520664,-0.070361089,5.912029359,-0.501143889,-0.458116335,5.861769382,-1.531608244,-0.196705013,5.221369037,-8.74041255,0.756087264,4.652150125,0.318536097,-0.49220215,4.794348464,0.973127895,-0.502215738,3.521065644,-2.402683593,0.054131637,3.831035675,-2.453933637,-0.268406192,3.695553645,-0.794059821,-0.088356872,4.802522534,1.122225371,-0.596265199,3.340032709,-1.206147919,-0.656804132,2.759113414,2.034333495,-0.916500421,2.810758886,0.125438528,-1.151120436,2.727035158,-5.847308901,-0.021651008,2.931697861,-5.93651126,0.309526815,4.500484936,2.140940728,-0.418389081,4.302452975,1.216332213,-0.525581117,5.151280551
7,AUS,-11.3951922,0.70935577,3.271393877,-4.136651684,-0.160025854,5.357116368,1.77694326,-1.435858142,3.17721442,-10.53494792,0.811224971,3.616686681,-6.413471633,0.217139137,5.912029359,-3.401800121,-0.203155564,5.861769382,-8.923674958,0.753848737,5.221369037,-7.609824837,0.241898063,4.652150125,-8.668260993,0.267007124,4.794348464,-11.84119024,1.483186595,3.521065644,-2.221023063,-0.061536088,3.831035675,-1.76230679,-0.162681753,3.695553645,-8.691735099,0.935095421,4.802522534,2.768872822,-0.632539935,3.340032709,-9.617698417,0.460205563,2.759113414,-5.131933117,0.333770762,2.810758886,-7.481154198,1.621430156,2.727035158,-9.336096309,0.305375013,2.931697861,-6.291795777,-0.077982668,4.500484936,-12.39922469,1.627017525,4.302452975,-5.676925395,0.009445373,5.151280551
8,AUT,-7.87087836,0.328679414,3.271393877,-0.070455694,-0.55983525,5.357116368,-8.476708056,0.969494106,3.17721442,-3.487935052,-0.274342364,3.616686681,-3.144776594,0.136816698,5.912029359,-3.842294314,0.007790677,5.861769382,-4.904772599,0.178084851,5.221369037,-3.084650623,0.26786224,4.652150125,-1.763706636,-0.322917177,4.794348464,-6.64718748,1.195370901,3.521065644,-9.308718132,0.844847022,3.831035675,-10.76594076,0.992868093,3.695553645,-5.143784854,0.022011695,4.802522534,12.70325292,-2.481153513,3.340032709,-7.340967535,1.324122408,2.759113414,-8.249554707,0.677843406,2.810758886,3.253393723,-1.346243889,2.727035158,-3.658921887,0.402593669,2.931697861,-6.265128208,-0.096749101,4.500484936,-1.417241163,-0.257361433,4.302452975,-0.284357831,-0.079211667,5.151280551
9,AZE,-1.380998086,-0.583336947,3.271393877,-3.718655116,-0.146612381,5.357116368,-7.36059644,1.026552085,3.17721442,5.01998303,-0.99147595,3.616686681,-3.674337535,-0.010572871,5.912029359,-1.969098765,-0.297409767,5.861769382,-3.209506893,0.16582334,5.221369037,-7.657180152,0.712139319,4.652150125,-1.554984651,-0.209608728,4.794348464,-0.566066469,-0.47099958,3.521065644,-2.895336983,0.115328484,3.831035675,-0.475617789,-0.647944849,3.695553645,0.581780471,-0.414854718,4.802522534,-0.593240269,-0.853931373,3.340032709,-5.693792778,0.112664666,2.759113414,4.131388698,-1.928736412,2.810758886,-2.680782358,-0.979410066,2.727035158,-4.935137879,-0.662336493,2.931697861,-6.359939025,0.497280389,4.500484936,0.773599778,-0.564601026,4.302452975,-1.527176201,-0.223786198,5.151280551
