File description: Atmospheric CO2 concentrations (ppm) from SSP scenarios.,,,,,
"Source: Downloaded from https://greenhousegases.science.unimelb.edu.au/#!/ghg?mode=downloads on August 24, 2021.",,,,,
,,,,,
Model,IMAGE,IMAGE,MESSAGE-GLOBIOM,AIM,REMIND-MAGPIE
Year,SSP1-19,SSP1-26,SSP2-45,SSP3-70,SSP5-85
1950,312.8209839,312.8209839,312.8209839,312.8209839,312.8209839
1951,313.0139771,313.0139771,313.0139771,313.0139771,313.0139771
1952,313.34198,313.34198,313.34198,313.34198,313.34198
1953,313.7299805,313.7299805,313.7299805,313.7299805,313.7299805
1954,314.0949707,314.0949707,314.0949707,314.0949707,314.0949707
1955,314.414978,314.414978,314.414978,314.414978,314.414978
1956,314.6979675,314.6979675,314.6979675,314.6979675,314.6979675
1957,314.9919739,314.9919739,314.9919739,314.9919739,314.9919739
1958,315.3449707,315.3449707,315.3449707,315.3449707,315.3449707
1959,315.8069763,315.8069763,315.8069763,315.8069763,315.8069763
1960,316.6249695,316.6249695,316.6249695,316.6249695,316.6249695
1961,317.2989502,317.2989502,317.2989502,317.2989502,317.2989502
1962,318.0439758,318.0439758,318.0439758,318.0439758,318.0439758
1963,318.6499634,318.6499634,318.6499634,318.6499634,318.6499634
1964,319.3329468,319.3329468,319.3329468,319.3329468,319.3329468
1965,319.8159485,319.8159485,319.8159485,319.8159485,319.8159485
1966,320.8799744,320.8799744,320.8799744,320.8799744,320.8799744
1967,321.47995,321.47995,321.47995,321.47995,321.47995
1968,322.3889465,322.3889465,322.3889465,322.3889465,322.3889465
1969,323.250946,323.250946,323.250946,323.250946,323.250946
1970,324.782959,324.782959,324.782959,324.782959,324.782959
1971,325.3999634,325.3999634,325.3999634,325.3999634,325.3999634
1972,327.3489685,327.3489685,327.3489685,327.3489685,327.3489685
1973,329.9089661,329.9089661,329.9089661,329.9089661,329.9089661
1974,330.7559509,330.7559509,330.7559509,330.7559509,330.7559509
1975,330.8269653,330.8269653,330.8269653,330.8269653,330.8269653
1976,331.5449524,331.5449524,331.5449524,331.5449524,331.5449524
1977,333.3529358,333.3529358,333.3529358,333.3529358,333.3529358
1978,335.0099487,335.0099487,335.0099487,335.0099487,335.0099487
1979,336.60495,336.60495,336.60495,336.60495,336.60495
1980,338.7049561,338.7049561,338.7049561,338.7049561,338.7049561
1981,340.05896,340.05896,340.05896,340.05896,340.05896
1982,340.6439514,340.6439514,340.6439514,340.6439514,340.6439514
1983,342.2659607,342.2659607,342.2659607,342.2659607,342.2659607
1984,344.0079346,344.0079346,344.0079346,344.0079346,344.0079346
1985,345.4589539,345.4589539,345.4589539,345.4589539,345.4589539
1986,346.9029541,346.9029541,346.9029541,346.9029541,346.9029541
1987,348.7749329,348.7749329,348.7749329,348.7749329,348.7749329
1988,351.2759399,351.2759399,351.2759399,351.2759399,351.2759399
1989,352.8939209,352.8939209,352.8939209,352.8939209,352.8939209
1990,354.072937,354.072937,354.072937,354.072937,354.072937
1991,355.3529358,355.3529358,355.3529358,355.3529358,355.3529358
1992,356.2289429,356.2289429,356.2289429,356.2289429,356.2289429
1993,356.9249573,356.9249573,356.9249573,356.9249573,356.9249573
1994,358.2539673,358.2539673,358.2539673,358.2539673,358.2539673
1995,360.2389526,360.2389526,360.2389526,360.2389526,360.2389526
1996,362.0049744,362.0049744,362.0049744,362.0049744,362.0049744
1997,363.2519531,363.2519531,363.2519531,363.2519531,363.2519531
1998,365.9329529,365.9329529,365.9329529,365.9329529,365.9329529
1999,367.8449707,367.8449707,367.8449707,367.8449707,367.8449707
2000,369.1249695,369.1249695,369.1249695,369.1249695,369.1249695
2001,370.6730042,370.6730042,370.6730042,370.6730042,370.6730042
2002,372.8349915,372.8349915,372.8349915,372.8349915,372.8349915
2003,375.4109802,375.4109802,375.4109802,375.4109802,375.4109802
2004,376.9869995,376.9869995,376.9869995,376.9869995,376.9869995
2005,378.9070129,378.9070129,378.9070129,378.9070129,378.9070129
2006,381.0100098,381.0100098,381.0100098,381.0100098,381.0100098
2007,382.6030273,382.6030273,382.6030273,382.6030273,382.6030273
2008,384.7390137,384.7390137,384.7390137,384.7390137,384.7390137
2009,386.2800293,386.2800293,386.2800293,386.2800293,386.2800293
2010,388.717041,388.717041,388.717041,388.717041,388.717041
2011,390.9440002,390.9440002,390.9440002,390.9440002,390.9440002
2012,393.0159912,393.0159912,393.0159912,393.0159912,393.0159912
2013,395.7249756,395.7249756,395.7249756,395.7249756,395.7249756
2014,397.5469666,397.5469666,397.5469666,397.5469666,397.5469666
2015,399.9491312,399.9491559,399.949097,399.948435,399.9487921
2016,403.1169628,403.1169628,403.1169628,403.1169626,403.1169627
2017,405.7509627,405.7519626,405.7619623,405.812961,405.7939616
2018,408.5869627,408.5919627,408.6319622,408.83196,408.759961
2019,411.4049626,411.4169625,411.5059618,411.9459589,411.7899603
2020,414.2139626,414.2319623,414.3899615,415.1549579,414.8909595
2021,417.0139638,417.0419625,417.2869612,418.460957,418.0649584
2022,419.6989653,419.8089627,420.1979608,421.8429561,421.3349573
2023,422.1699667,422.4989629,423.1249605,425.2829553,424.7209562
2024,424.4429681,425.1199631,426.0689602,428.7839544,428.219955
2025,426.5249696,427.6739633,429.0299598,432.3469536,431.8299539
2026,428.425971,430.1659635,432.0109595,435.9749527,435.5499528
2027,430.1509724,432.5979638,435.0119592,439.6699518,439.3779516
2028,431.7059739,434.973964,438.0329589,443.431951,443.3149505
2029,433.0959753,437.2949642,441.0769585,447.2629501,447.3609494
2030,434.3239767,439.5639645,444.1429582,451.1639493,451.5149482
2031,435.3939781,441.7809652,447.2319581,455.1359487,455.7789468
2032,436.3369795,443.928966,450.3329579,459.165948,460.1639453
2033,437.1789809,445.9899667,453.4349577,463.2419474,464.6819438
2034,437.9169822,447.9689675,456.5409576,467.3649468,469.3309423
2035,438.5529836,449.8659683,459.6519574,471.5389462,474.1119408
2036,439.083985,451.6849691,462.7699573,475.7649456,479.0249393
2037,439.5129863,453.4259699,465.8969571,480.044945,484.0719378
2038,439.8369877,455.0919707,469.032957,484.3799444,489.2519363
2039,440.0589891,456.6839714,472.1789568,488.7719437,494.5669349
2040,440.1789903,458.2009722,475.3359567,493.2209431,500.0189333
2041,440.1969911,459.646973,478.5039566,497.7309426,505.6079317
